true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,0.3797744634412514,0.0,0.024736267733721354,0.059658057475445614,0.10258275736631503,0.31429610767551835,0.11895234630774827
disgusted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fearful,0.11652768868933076,0.0,0.06392986957451358,0.04254864229206756,0.18067137053666882,0.3728886038058585,0.22343382510156082
happy,0.06123499142367067,0.0,0.009433962264150943,0.6639794168096055,0.0516295025728988,0.18250428816466552,0.031217838765008575
neutral,0.07832710549008336,0.0,0.040960045990227074,0.03190572003449267,0.3963782696177062,0.28140270192584077,0.1710261569416499
sad,0.0815779014308426,0.0,0.021363275039745628,0.05474960254372019,0.09697933227344992,0.6567965023847376,0.08853338632750397
surprised,0.06006202056471356,0.0,0.023665741798596377,0.02382895381100049,0.10135465970295414,0.12436755345193407,0.6667210706708013
