true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,2088,0,136,328,564,1728,654
disgusted,0,0,0,0,0,0,0
fearful,545,0,299,199,845,1744,1045
happy,357,0,55,3871,301,1064,182
neutral,545,0,285,222,2758,1958,1190
sad,821,0,215,551,976,6610,891
surprised,368,0,145,146,621,762,4085
