true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,0.6977082575481993,0.0,0.07784648963259368,0.014914514368861403,0.05292833757730084,0.11604219716260458,0.04056020371044016
disgusted,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fearful,0.10968569595894805,0.0,0.3658327988026513,0.01689116955313235,0.11845199914475091,0.2604233483001924,0.12871498824032498
happy,0.011835334476843911,0.0,0.004631217838765009,0.9466552315608919,0.012006861063464836,0.016638078902229847,0.00823327615780446
neutral,0.025438344351825237,0.0,0.046421385455590686,0.009485484334578902,0.805978729519977,0.07832710549008336,0.034348950847944815
sad,0.043620826709062005,0.0,0.06528219395866455,0.01043322734499205,0.06389109697933228,0.7808028616852146,0.0359697933227345
surprised,0.035253794679288394,0.0,0.07491431369348785,0.01044556879386323,0.046841847559980415,0.04749469560959687,0.7850497796637833
