true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,3663,237,587,73,372,566,0
disgusted,162,4804,590,38,322,211,0
fearful,395,623,1987,63,642,967,0
happy,57,60,55,5504,83,71,0
neutral,117,218,451,45,5724,403,0
sad,404,378,1005,120,758,7399,0
surprised,0,0,0,0,0,0,0
