true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,0.6951618770461986,0.0542015278283012,0.09130592942888323,0.01345943979628956,0.05565660240087304,0.0532921062204438,0.03692251727901055
disgusted,0.08420163334272036,0.3224443818642636,0.14446634750774429,0.005350605463249789,0.1233455364686004,0.25823711630526613,0.06195437904815545
fearful,0.10925807141329913,0.1319221723326919,0.39320076972418216,0.011545862732520847,0.1276459268762027,0.1088304468676502,0.11759675005345306
happy,0.013550600343053174,0.005831903945111492,0.009948542024013723,0.928130360205832,0.018353344768439108,0.015265866209262435,0.008919382504288165
neutral,0.02802529462489221,0.04225352112676056,0.06510491520551882,0.006754814601897097,0.8061224489795918,0.030612244897959183,0.02112676056338028
sad,0.03761707354521726,0.1351143866113926,0.06156916935360049,0.008751727314601566,0.048211269768156,0.6962997082757562,0.01243666513127591
surprised,0.038354822914966544,0.04341439529949404,0.09939611555410478,0.00718132854578097,0.05973559653990534,0.014199445079157826,0.7377182960665905
