class,precision,recall,f1,tp,fp,fn,support
angry,0.4348475154617189,0.3708621316842488,0.40031412584666726,2039,2650,3459,5498
disgusted,0.5084028382920454,0.6665578586583972,0.5768361581920903,4084,3949,2043,6127
fearful,0.25462962962962965,0.05879837502672653,0.09553586937641133,275,805,4402,4677
happy,0.7864630811303556,0.5919382504288164,0.6754746525738893,3451,937,2379,5830
neutral,0.4487460815047022,0.41146881287726356,0.42929974508921875,2863,3517,4095,6958
sad,0.4679786066922655,0.6781597774244833,0.5537974683544304,6825,7759,3239,10064
surprised,0.0,0.0,0.0,0,0,0,0
