class,precision,recall,f1,tp,fp,fn,support
angry,0.4010301692420898,0.1930570315267446,0.26064084170253465,545,814,2278,2823
disgusted,0.0,0.0,0.0,0,725,0,0
fearful,0.16445916114790288,0.06546572934973638,0.09365179132620993,149,757,2127,2276
happy,0.8005527406725012,0.5513959390862944,0.6530152169829042,1738,433,1414,3152
neutral,0.37080635668040024,0.5457695639618828,0.441588785046729,1890,3207,1573,3463
sad,0.5641547861507128,0.39203396684189246,0.4626028867947036,1939,1498,3007,4946
surprised,0.33615150490361856,0.6741268226517464,0.44860656662529613,1988,3926,961,2949
