class,precision,recall,f1,tp,fp,fn,support
angry,0.763443101292205,0.6662422699163332,0.7115384615384616,3663,1135,1835,5498
disgusted,0.7601265822784811,0.7840705075893586,0.7719129107415441,4804,1516,1323,6127
fearful,0.42502673796791446,0.4248449861022023,0.42493584260051326,1987,2688,2690,4677
happy,0.9419818586342632,0.944082332761578,0.9430309260687056,5504,339,326,5830
neutral,0.7244652575623339,0.8226501868352974,0.7704421562689279,5724,2177,1234,6958
sad,0.7693667463866071,0.7351947535771065,0.7518926883796554,7399,2218,2665,10064
surprised,0.0,0.0,0.0,0,0,0,0
