true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,0.3708621316842488,0.11913423062931976,0.025827573663150236,0.03837759185158239,0.11131320480174609,0.3344852673699527,0.0
disgusted,0.06202056471356292,0.6665578586583972,0.023502529786192265,0.01501550514117839,0.1047821119634405,0.12812142973722865,0.0
fearful,0.10690613641223007,0.2268548214667522,0.05879837502672653,0.027795595467179815,0.1902929228137695,0.3893521488133419,0.0
happy,0.08027444253859348,0.03224699828473413,0.010634648370497428,0.5919382504288164,0.05986277873070326,0.22504288164665523,0.0
neutral,0.07818338603046852,0.16815176774935325,0.036073584363322794,0.018396090830698476,0.41146881287726356,0.28772635814889336,0.0
sad,0.07531796502384738,0.08694356120826709,0.020468998410174882,0.037360890302066775,0.10174880763116058,0.6781597774244833,0.0
surprised,0.0,0.0,0.0,0.0,0.0,0.0,0.0
