class,precision,recall,f1,tp,fp,fn,support
angry,0.7096175269216487,0.6951618770461986,0.7023153252480706,3822,1564,1676,5498
disgusted,0.3239954725523486,0.3224443818642636,0.3232180663373324,1145,2389,2406,3551
fearful,0.42034285714285713,0.39320076972418216,0.40631904551480336,1839,2536,2838,4677
happy,0.9483000350508237,0.928130360205832,0.9381067961165049,5411,295,419,5830
neutral,0.7249579940545431,0.8061224489795918,0.7633889077917659,5609,2128,1349,6958
sad,0.6826734908926689,0.6962997082757562,0.689419276375798,4535,2108,1978,6513
surprised,0.7829551359778278,0.7377182960665905,0.7596638655462185,4520,1253,1607,6127
