true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,2039,655,142,211,612,1839,0
disgusted,380,4084,144,92,642,785,0
fearful,500,1061,275,130,890,1821,0
happy,468,188,62,3451,349,1312,0
neutral,544,1170,251,128,2863,2002,0
sad,758,875,206,376,1024,6825,0
surprised,0,0,0,0,0,0,0
