class,precision,recall,f1,tp,fp,fn,support
angry,0.7306666666666667,0.6977082575481993,0.7138072199478973,3836,1414,1662,5498
disgusted,0.0,0.0,0.0,0,0,0,0
fearful,0.47461858529819695,0.3658327988026513,0.4131852209611205,1711,1894,2966,4677
happy,0.9330515638207946,0.9466552315608919,0.9398041719880801,5519,396,311,5830
neutral,0.7524486783845431,0.805978729519977,0.7782943584761641,5608,1845,1350,6958
sad,0.738048276509815,0.7808028616852146,0.7588238134324755,7858,2789,2206,10064
surprised,0.7654360280076384,0.7850497796637833,0.7751188461848361,4810,1474,1317,6127
