true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,0.6662422699163332,0.04310658421244089,0.10676609676245907,0.013277555474718079,0.06766096762459076,0.10294652600945799,0.0
disgusted,0.026440346009466296,0.7840705075893586,0.09629508731842663,0.006202056471356292,0.05255426799412437,0.03443773461726783,0.0
fearful,0.08445584776566174,0.13320504596963867,0.4248449861022023,0.013470173187940988,0.1372674791533034,0.20675646782125293,0.0
happy,0.009777015437392796,0.010291595197255575,0.009433962264150943,0.944082332761578,0.014236706689536879,0.012178387650085764,0.0
neutral,0.016815176774935325,0.03133084219603334,0.06481747628628916,0.006467375682667433,0.8226501868352974,0.05791894222477723,0.0
sad,0.04014308426073132,0.037559618441971386,0.09986089030206677,0.01192368839427663,0.07531796502384738,0.7351947535771065,0.0
surprised,0.0,0.0,0.0,0.0,0.0,0.0,0.0
