true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,545,257,185,103,602,296,835
disgusted,0,0,0,0,0,0,0
fearful,111,53,149,63,674,375,851
happy,157,105,96,1738,394,381,281
neutral,84,21,116,64,1890,220,1068
sad,274,258,238,108,1238,1939,891
surprised,188,31,122,95,299,226,1988
