class,precision,recall,f1,tp,fp,fn,support
angry,0.4419983065198984,0.3797744634412514,0.4085306202308746,2088,2636,3410,5498
disgusted,0.0,0.0,0.0,0,0,0,0
fearful,0.26343612334801764,0.06392986957451358,0.10289057123193392,299,836,4378,4677
happy,0.7280421290201241,0.6639794168096055,0.6945366466313806,3871,1446,1959,5830
neutral,0.4547403132728772,0.3963782696177062,0.42355831989556936,2758,3307,4200,6958
sad,0.47670561084667534,0.6567965023847376,0.552444630171333,6610,7256,3454,10064
surprised,0.5076425997266062,0.6667210706708013,0.5764075067024129,4085,3962,2042,6127
