true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,3836,0,428,82,291,638,223
disgusted,0,0,0,0,0,0,0
fearful,513,0,1711,79,554,1218,602
happy,69,0,27,5519,70,97,48
neutral,177,0,323,66,5608,545,239
sad,439,0,657,105,643,7858,362
surprised,216,0,459,64,287,291,4810
