true,angry,disgusted,fearful,happy,neutral,sad,surprised
angry,0.1930570315267446,0.09103790294013461,0.06553312079348211,0.03648600779312788,0.2132483173928445,0.10485299326957138,0.2957846262840949
disgusted,0.06375042387249916,0.010512037978975925,0.04136995591726009,0.03221430993557138,0.10139030179721939,0.0766361478467277,0.6741268226517464
fearful,0.048769771528998244,0.02328646748681898,0.06546572934973638,0.027680140597539545,0.2961335676625659,0.1647627416520211,0.37390158172231985
happy,0.04980964467005076,0.033312182741116754,0.030456852791878174,0.5513959390862944,0.125,0.12087563451776649,0.0891497461928934
neutral,0.024256425064972567,0.006064106266243142,0.03349696794686688,0.018481085763788624,0.5457695639618828,0.06352873231302339,0.3084031186832226
sad,0.05539830165790538,0.05216336433481601,0.048119692680954305,0.021835826930853213,0.2503032753740396,0.39203396684189246,0.18014557217953903
surprised,0.0,0.0,0.0,0.0,0.0,0.0,0.0
